ORIGID,CountyName,Covid Density,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,SHAPE_Length,SHAPE_Area
1,Carlow,Medium,56932,11/1/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,554,973.0907047,,,319348.5725,2432351721
2,Cavan,High,76176,11/1/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,2062,2706.889309,,,515954.4965,5575009911
3,Clare,Medium,118817,11/1/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,1311,1103.377463,,,1013948.95,8722541706
4,Cork,Medium,542868,11/1/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,5572,1026.400525,,,2129949.409,19529490886
5,Donegal,Medium,159192,11/1/2020 0:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,2180,1369.415549,,,2145085.774,14624041937
6,Dublin,Medium,1347359,11/1/2020 0:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,24109,1789.352355,,,449433.5318,2612632655
7,Galway,Low,258058,11/1/2020 0:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,2330,902.8977982,,,1972288.286,17079158586
8,Kerry,Low,147707,11/1/2020 0:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,1092,739.3014549,,,1753779.819,12483603408
9,Kildare,Medium,222504,11/1/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,3763,1691.205551,,,422182.0368,4726063622
10,Kilkenny,Low,99232,11/1/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,775,780.9980651,,,453397.5722,5585391835
11,Laois,Medium,84697,11/1/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,838,989.4093061,,,398512.4622,4731211499
12,Leitrim,Low,32044,11/1/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,230,717.7630758,,,453253.685,4618679673
13,Limerick,Medium,194899,11/1/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,2075,1064.654,,,673892.6905,7206726912
14,Longford,Medium,40873,11/1/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,578,1414.136472,,,315245.1728,3097977869
15,Louth,Medium,128884,11/1/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,1700,1319.015549,,,352203.5172,2386326963
16,Mayo,Low,130507,11/1/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,1191,912.5947267,,,2101964.077,16036984139
17,Meath,Medium,195044,11/1/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,2974,1524.784151,,,554844.7505,6658570746
18,Monaghan,Medium,61386,11/1/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,1119,1822.891213,,,392803.0473,3768943157
19,Offaly,Medium,77961,11/1/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,1043,1337.848411,,,561440.3786,5558826350
20,Roscommon,Medium,64544,11/1/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,789,1222.421914,,,622494.1546,7278743876
